"bpmag-Gmag","bpmag-rpmag","bpmag-Jmag","bpmag-Hmag","bpmag-Kmag","Gmag-rpmag","Gmag-Jmag","Gmag-Hmag","Gmag-Kmag","rpmag-Jmag","rpmag-Hmag","rpmag-Kmag","Jmag-Hmag","Jmag-Kmag","Hmag-Kmag","class"
0.0764,0.2148,0.3627,0.4297,0.4897,0.1384,0.2863,0.3533,0.4133,0.148,0.215,0.275,0.067,0.127,0.06,"B"
0.1384,0.3776,0.6998,0.7918,0.8238,0.2392,0.5613,0.6533,0.6853,0.3221,0.4141,0.4461,0.092,0.124,0.032,"B"
-0.0692,-0.2233,-0.3098,-0.2068,-0.0958,-0.1541,-0.2406,-0.1376,-0.0266,-0.0865,0.0165,0.1275,0.103,0.214,0.111,"B"
0.7448,1.6612,3.2341,3.6251,4.0161,0.9164,2.4893,2.8803,3.2713,1.5729,1.9639,2.3549,0.391,0.782,0.391,"B"
-0.0657,0.0203,-0.012,0.156,0.632,0.086,0.0537,0.2217,0.6977,-0.0323,0.1357,0.6117,0.168,0.644,0.476,"B"
0.6226,1.3999,2.3858,2.6918,2.8658,0.7774,1.7633,2.0693,2.2433,0.9859,1.2919,1.4659,0.306,0.48,0.174,"B"
0.1488,0.3747,0.7471,0.9811,1.1211,0.226,0.5983,0.8323,0.9723,0.3723,0.6063,0.7463,0.234,0.374,0.14,"B"
0.2263,0.5712,0.8811,1.0221,1.1851,0.3449,0.6548,0.7958,0.9588,0.3099,0.4509,0.6139,0.141,0.304,0.163,"B"
0.1893,0.5286,1.0903,1.2903,1.5163,0.3393,0.901,1.101,1.327,0.5617,0.7617,0.9877,0.2,0.426,0.226,"B"
-0.065,-0.0061,-0.0765,0.0425,0.2115,0.059,-0.0115,0.1075,0.2765,-0.0704,0.0486,0.2176,0.119,0.288,0.169,"B"
0.0587,0.1671,0.2824,0.3314,0.3954,0.1084,0.2237,0.2727,0.3367,0.1153,0.1643,0.2283,0.049,0.113,0.064,"B"
0.1132,0.3401,0.5857,0.7547,0.9777,0.2269,0.4725,0.6415,0.8645,0.2456,0.4146,0.6376,0.169,0.392,0.223,"B"
0.0584,0.1528,0.3002,0.3092,0.3302,0.0945,0.2418,0.2508,0.2718,0.1474,0.1564,0.1774,0.009,0.03,0.021,"B"
